,0
0,https://218.93.134.186:6666
1,https://222.186.12.102:57624
2,https://123.13.245.31:9999
3,https://114.226.105.131:6666
4,https://119.122.214.183:9000
5,https://163.125.156.80:8888
6,https://27.44.157.62:9999
7,https://171.37.173.96:9797
8,https://113.88.12.62:808
9,https://117.57.200.199:9000
10,https://58.251.233.170:9797
11,https://121.206.242.127:53281
12,https://118.31.56.49:3128
13,https://114.226.128.107:6666
14,https://60.25.212.187:9999
15,https://114.226.65.85:6666
16,https://114.249.117.149:9000
17,https://183.51.191.184:9999
18,https://120.86.182.149:9797
19,https://114.226.65.172:6666
20,https://114.228.73.186:6666
21,https://121.231.226.23:6666
22,https://183.33.131.246:808
23,https://123.13.247.177:9999
24,https://27.42.180.50:9797
25,https://163.125.17.188:9999
26,https://222.185.160.115:6666
27,https://222.245.132.219:80
28,https://119.122.215.80:9000
29,https://113.65.10.219:9797
30,https://121.231.155.151:6666
31,https://121.42.198.60:808
32,https://120.76.231.27:3128
33,https://222.185.137.113:6666
34,https://222.185.160.148:6666
35,https://121.231.32.173:6666
36,https://113.116.125.95:9797
37,https://27.46.23.81:9999
38,https://27.46.23.73:9999
39,https://101.88.0.116:9000
40,https://114.228.75.188:6666
41,https://222.185.137.83:6666
42,https://114.226.135.34:6666
43,https://27.159.217.124:53281
44,https://121.231.155.6:6666
45,https://163.125.195.228:9797
46,https://112.67.175.9:9797
47,https://112.95.21.120:9999
48,https://171.37.55.70:9797
49,https://123.163.225.138:9000
50,https://183.51.191.59:9797
51,https://14.117.208.117:9797
52,https://163.125.158.5:8888
53,https://218.19.244.248:9000
54,https://183.30.197.194:9797
55,https://117.63.78.76:6666
56,https://120.78.180.231:8118
57,https://114.228.73.106:6666
58,https://222.185.22.123:6666
59,https://106.113.242.198:9999
60,https://117.63.78.149:6666
61,https://61.161.197.235:80
62,https://113.79.74.70:9999
63,https://183.13.170.255:9797
64,https://114.226.65.93:6666
65,https://60.205.5.36:3128
66,https://114.255.162.65:1080
67,https://183.30.197.204:9999
68,https://106.113.243.19:9999
69,https://220.178.140.80:31222
70,https://183.33.129.182:808
71,https://124.237.83.14:53281
72,https://111.194.14.107:9000
73,https://14.117.208.21:9797
74,https://113.76.96.228:9797
